UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2020,999,331526933,164218174,167308759,125521586,126145647,21602718,23304817,2175205,2126907,9726936,10491349,433408,418413,4758321,4821626,129766632,130424274,23767567,25544772,3551588,3559559,11499579,12251856,849491,836575,132699412,136601158,97992536,99376009,20028212,21689054,1191325,1220598,9399103,10165523,313033,306113,3775203,3843861,101359194,102783984,21729418,23459421,2161990,2252167,10901570,11656753,639544,635764,31518762,30707601,27529050,26769638,1574506,1615763,983880,906309,327833,325826,120375,112300,983118,977765,28407438,27640290,2038149,2085351,1389598,1307392,598009,595103,209947,200811
R,7,2020,0,3702966,1893263,1809703,1314156,1253959,300718,291344,35143,33576,111726,105164,7007,6617,124513,119043,1428689,1363446,369791,357540,58228,55725,157688,148928,15534,14695,1399005,1334980,912276,867599,265231,257161,13749,13243,104043,97885,4289,3991,99417,95101,1004223,955534,321175,310798,28495,27418,142208,134254,10548,9928,494258,474723,401880,386360,35487,34183,21394,20333,7683,7279,2718,2626,25096,23942,424466,407912,48616,46742,29733,28307,15480,14674,4986,4767
R,7,2020,1,3764198,1922465,1841733,1336985,1277281,302900,295528,35851,34465,114920,108346,7273,6835,124536,119278,1451470,1386936,371894,361783,59023,56768,160934,152182,15813,14928,1419561,1356177,927395,881347,267112,260842,14315,13831,106949,100828,4442,4191,99348,95138,1019204,969268,322879,314439,29129,28095,145182,137215,10730,10147,502904,485556,409590,395934,35788,34686,21536,20634,7971,7518,2831,2644,25188,24140,432266,417668,49015,47344,29894,28673,15752,14967,5083,4781
R,7,2020,2,3853792,1970185,1883607,1368514,1305220,309660,301920,36510,34553,121362,113703,7346,6978,126793,121233,1485067,1416651,379537,369107,60121,57204,168479,158390,16092,15248,1459796,1391898,951102,902633,274570,267897,14338,13840,113617,106247,4614,4344,101555,96937,1044927,992178,331272,322357,29484,28386,152970,143474,11099,10452,510389,491709,417412,402587,35090,34023,22172,20713,7745,7456,2732,2634,25238,24296,440140,424473,48265,46750,30637,28818,15509,14916,4993,4796
R,7,2020,3,3933140,2012693,1920447,1403053,1335125,310318,301815,35674,34624,128299,120121,7518,7123,127831,121639,1520462,1446910,379778,368653,59704,57653,176568,165217,16512,15525,1492851,1419910,973943,922437,275741,268242,15409,14779,120519,112728,4814,4480,102425,97244,1068444,1012228,331962,322372,30961,29627,160957,150321,11535,10694,519842,500537,429110,412688,34577,33573,20265,19845,7780,7393,2704,2643,25406,24395,452018,434682,47816,46281,28743,28026,15611,14896,4977,4831
R,7,2020,4,4037779,2063531,1974248,1454361,1385611,311092,304989,35322,33974,126306,119045,7393,7090,129057,123539,1572981,1499182,380995,372437,59953,57574,174813,164972,16454,15654,1530420,1461814,1010896,959343,277086,272017,15932,15332,118506,111705,4677,4477,103323,98940,1106311,1050743,333761,326723,31894,30640,159011,150058,11411,10837,533111,512434,443465,426268,34006,32972,19390,18642,7800,7340,2716,2613,25734,24599,466670,448439,47234,45714,28059,26934,15802,14914,5043,4817
R,7,2020,5,4074339,2081174,1993165,1463987,1397842,317072,309235,35076,34070,128970,121339,7331,7095,128738,123584,1582317,1511456,386856,376653,59783,57746,177160,167275,16370,15645,1548905,1478895,1020628,969849,282539,275725,16276,15605,121505,114149,4690,4508,103267,99059,1115979,1061346,339102,330420,32396,30979,161897,152588,11452,10895,532269,514270,443359,427993,34533,33510,18800,18465,7465,7190,2641,2587,25471,24525,466338,450110,47754,46233,27387,26767,15263,14687,4918,4750
R,7,2020,6,4062548,2080253,1982295,1467554,1392170,317625,308655,35333,34062,125301,118585,7030,6761,127410,122062,1584700,1504368,386215,375385,59964,57589,173212,163683,16106,15326,1550632,1474764,1026260,969609,282860,275284,16629,15907,118155,111804,4566,4370,102162,97790,1120652,1059926,338411,329436,32738,31221,158288,149474,11318,10738,529621,507531,441294,422561,34765,33371,18704,18155,7146,6781,2464,2391,25248,24272,464048,444442,47804,45949,27226,26368,14924,14209,4788,4588
R,7,2020,7,4049546,2069495,1980051,1458646,1391593,315478,307326,35003,33796,127488,120264,7053,6727,125827,120345,1574195,1502035,382764,372520,59462,57298,175199,165196,16217,15291,1543732,1472717,1019138,967846,281760,274698,16787,16039,120566,113470,4632,4346,100849,96318,1112171,1056644,336202,327470,32785,31395,160568,151031,11438,10664,525763,507334,439508,423747,33718,32628,18216,17757,6922,6794,2421,2381,24978,24027,462024,445391,46562,45050,26677,25903,14631,14165,4779,4627
R,7,2020,8,4056807,2076354,1980453,1470264,1398393,316553,306564,36075,34738,122417,115807,6803,6542,124242,118409,1584343,1507088,383213,370536,60605,58160,169037,159851,15768,15061,1544961,1469470,1025630,970589,283188,274605,16852,16178,115629,109274,4399,4217,99263,94607,1117193,1057848,336979,326310,32837,31446,154630,146048,11041,10510,531393,510983,444634,427804,33365,31959,19223,18560,6788,6533,2404,2325,24979,23802,467150,449240,46234,44226,27768,26714,14407,13803,4727,4551
